time;volume;open;high;low;close;;dif;dir;token;;shadow_down;shadow_up
01.07.22 22:00;28829417;1069,4;1071,2;1053,05;1066,05;;мар.35;-;ETHUSD;;13.0;1.7999999999999545
01.07.22 23:00;30875268;1066,05;1090,65;1063;1066,75;;0.7;+;ETHUSD;;3.0499999999999545;23.90000000000009
02.07.22 0:00;13355496;1066,75;1075,85;1060,35;1065,85;;0.9;-;ETHUSD;;05.май;9.099999999999909
02.07.22 1:00;3995112;1065,85;1068,8;1058,55;1062,55;;03.мар;-;ETHUSD;;4.0;2.9500000000000455
02.07.22 2:00;8448959;1062,55;1072,3;1052,4;1057,25;;05.мар;-;ETHUSD;;4.849999999999909;сен.75
02.07.22 3:00;32971831;1057,25;1068,8;1048,75;1049,7;;июл.55;-;ETHUSD;;0.9500000000000455;11.549999999999955
02.07.22 4:00;7786368;1049,7;1062,5;1044,6;1056,7;;7.0;+;ETHUSD;;5.100000000000136;5.7999999999999545
02.07.22 5:00;14219648;1056,7;1061,05;1033,65;1039,7;;17.0;-;ETHUSD;;6.0499999999999545;4.349999999999909
02.07.22 6:00;7016181;1039,7;1041,55;1031,15;1035,8;;03.сен;-;ETHUSD;;4.649999999999864;1.849999999999909
02.07.22 7:00;4876912;1035,8;1045,35;1034,05;1043,3;;07.май;+;ETHUSD;;янв.75;2.0499999999999545
02.07.22 8:00;3894491;1043,3;1049,5;1041,1;1043,95;;0.65;+;ETHUSD;;2.2000000000000455;5.5499999999999545
02.07.22 9:00;1321130;1043,95;1048,55;1042,4;1045,15;;01.фев;+;ETHUSD;;1.5499999999999545;3.3999999999998636
02.07.22 10:00;3320141;1045,15;1051,55;1038,55;1039,6;;май.55;-;ETHUSD;;1.0499999999999545;6.399999999999864
02.07.22 11:00;3574904;1039,6;1043,2;1034,7;1037,8;;01.авг;-;ETHUSD;;3.099999999999909;3.6000000000001364
02.07.22 12:00;10238063;1037,8;1043,3;1026,15;1038,9;;01.янв;+;ETHUSD;;11.649999999999864;4.399999999999864
02.07.22 13:00;4036035;1038,9;1047,5;1033,25;1043,75;;апр.85;+;ETHUSD;;5.650000000000091;мар.75
02.07.22 14:00;2639810;1043,75;1045,05;1038,15;1039,4;;апр.35;-;ETHUSD;;янв.25;1.2999999999999545
