,time,open,close,low,high,diff,dir,token,dif,body,shadow_up,shadow_down
72,2022-06-07 09:00:00,1752.45,1754.2,1751.05,1757.85,1.75,+,ETHUSD,1.75,1.75,3.6499999999998636,1.400000000000091
73,2022-06-07 09:15:00,1754.2,1752.45,1748.9,1755.4,1.75,-,ETHUSD,1.75,0.0,1.2000000000000455,3.5499999999999545
74,2022-06-07 09:30:00,1752.45,1750.75,1748.15,1753.35,1.7,-,ETHUSD,1.7,0.0,0.8999999999998636,2.599999999999909
75,2022-06-07 09:45:00,1750.75,1752.9,1749.0,1754.65,2.15,+,ETHUSD,2.15,2.150000000000091,1.75,1.75
76,2022-06-07 10:00:00,1752.9,1758.0,1751.3,1758.5,5.1,+,ETHUSD,5.1,5.099999999999909,0.5,1.6000000000001364
77,2022-06-07 10:15:00,1758.0,1758.3,1752.75,1761.05,0.3,+,ETHUSD,0.3,0.2999999999999545,2.75,5.25
78,2022-06-07 10:30:00,1758.3,1757.95,1754.85,1760.0,0.35,-,ETHUSD,0.35,0.0,1.7000000000000455,3.1000000000001364
79,2022-06-07 10:45:00,1757.95,1761.9,1757.1,1762.45,3.95,+,ETHUSD,3.95,3.9500000000000455,0.5499999999999545,0.8500000000001364
80,2022-06-07 11:00:00,1761.9,1764.35,1757.45,1765.65,2.45,+,ETHUSD,2.45,2.449999999999818,1.300000000000182,4.4500000000000455
81,2022-06-07 11:15:00,1764.35,1764.7,1762.05,1767.2,0.35,+,ETHUSD,0.35,0.3500000000001364,2.5,2.2999999999999545
82,2022-06-07 11:30:00,1764.7,1770.0,1763.2,1775.55,5.3,+,ETHUSD,5.3,5.2999999999999545,5.5499999999999545,1.5
83,2022-06-07 11:45:00,1770.0,1768.05,1766.15,1771.7,1.95,-,ETHUSD,1.95,0.0,1.7000000000000455,1.8999999999998636
84,2022-06-07 12:00:00,1768.05,1762.35,1762.25,1769.05,5.7,-,ETHUSD,5.7,0.0,1.0,0.09999999999990905
85,2022-06-07 12:15:00,1762.35,1763.2,1760.45,1765.05,0.85,+,ETHUSD,0.85,0.8500000000001364,1.849999999999909,1.8999999999998636
86,2022-06-07 12:30:00,1763.2,1762.05,1761.05,1764.5,1.15,-,ETHUSD,1.15,0.0,1.2999999999999545,1.0
87,2022-06-07 12:45:00,1762.05,1760.9,1760.9,1765.1,1.15,-,ETHUSD,1.15,0.0,3.0499999999999545,0.0
88,2022-06-07 13:00:00,1760.9,1764.65,1760.6,1765.25,3.75,+,ETHUSD,3.75,3.75,0.599999999999909,0.3000000000001819
89,2022-06-07 13:15:00,1764.65,1762.85,1758.75,1766.0,1.8,-,ETHUSD,1.8,0.0,1.349999999999909,4.099999999999909
90,2022-06-07 13:30:00,1762.85,1764.85,1762.85,1767.6,2.0,+,ETHUSD,2.0,2.0,2.75,0.0
91,2022-06-07 13:45:00,1764.85,1764.8,1763.55,1769.6,0.05,-,ETHUSD,0.05,0.0,4.75,1.25
92,2022-06-07 14:00:00,1764.8,1749.95,1745.5,1766.45,14.85,-,ETHUSD,14.85,0.0,1.650000000000091,4.4500000000000455
93,2022-06-07 14:15:00,1749.95,1753.4,1744.75,1755.5,3.45,+,ETHUSD,3.45,3.4500000000000455,2.099999999999909,5.2000000000000455
94,2022-06-07 14:30:00,1753.4,1750.05,1750.05,1755.95,3.35,-,ETHUSD,3.35,0.0,2.5499999999999545,0.0
95,2022-06-07 14:45:00,1750.05,1751.15,1747.5,1752.0,1.1,+,ETHUSD,1.1,1.1000000000001364,0.849999999999909,2.5499999999999545
96,2022-06-07 15:00:00,1751.15,1749.95,1749.05,1754.8,1.2,-,ETHUSD,1.2,0.0,3.6499999999998636,0.900000000000091
97,2022-06-07 15:15:00,1749.95,1737.05,1732.0,1750.7,12.9,-,ETHUSD,12.9,0.0,0.75,5.0499999999999545
98,2022-06-07 15:30:00,1737.05,1751.85,1736.45,1755.25,14.8,+,ETHUSD,14.8,14.799999999999955,3.400000000000091,0.599999999999909
99,2022-06-07 15:45:00,1751.85,1749.5,1744.2,1753.0,2.35,-,ETHUSD,2.35,0.0,1.150000000000091,5.2999999999999545
100,2022-06-07 16:00:00,1749.5,1747.1,1746.2,1751.65,2.4,-,ETHUSD,2.4,0.0,2.150000000000091,0.8999999999998636
101,2022-06-07 16:15:00,1747.1,1752.7,1745.9,1753.8,5.6,+,ETHUSD,5.6,5.600000000000136,1.099999999999909,1.199999999999818
102,2022-06-07 16:30:00,1752.7,1763.05,1744.55,1765.5,10.35,+,ETHUSD,10.35,10.349999999999909,2.4500000000000455,8.150000000000091
103,2022-06-07 16:45:00,1763.05,1760.05,1758.15,1772.1,3.0,-,ETHUSD,3.0,0.0,9.049999999999955,1.8999999999998636
104,2022-06-07 17:00:00,1760.05,1758.15,1755.5,1765.65,1.9,-,ETHUSD,1.9,0.0,5.600000000000136,2.650000000000091
105,2022-06-07 17:15:00,1758.15,1768.2,1756.65,1768.3,10.05,+,ETHUSD,10.05,10.049999999999955,0.09999999999990905,1.5
106,2022-06-07 17:30:00,1768.2,1786.55,1767.2,1788.6,18.35,+,ETHUSD,18.35,18.34999999999991,2.0499999999999545,1.0
107,2022-06-07 17:45:00,1786.55,1782.5,1780.35,1792.85,4.05,-,ETHUSD,4.05,0.0,6.2999999999999545,2.150000000000091
108,2022-06-07 18:00:00,1782.5,1784.15,1777.45,1788.0,1.65,+,ETHUSD,1.65,1.650000000000091,3.849999999999909,5.0499999999999545
109,2022-06-07 18:15:00,1784.15,1772.75,1772.1,1787.25,11.4,-,ETHUSD,11.4,0.0,3.099999999999909,0.650000000000091
110,2022-06-07 18:30:00,1772.75,1776.65,1771.65,1778.5,3.9,+,ETHUSD,3.9,3.900000000000091,1.849999999999909,1.099999999999909
111,2022-06-07 18:45:00,1776.65,1779.5,1771.85,1781.8,2.85,+,ETHUSD,2.85,2.849999999999909,2.2999999999999545,4.800000000000182
112,2022-06-07 19:00:00,1779.5,1774.65,1772.35,1779.8,4.85,-,ETHUSD,4.85,0.0,0.2999999999999545,2.300000000000182
113,2022-06-07 19:15:00,1774.65,1770.9,1765.1,1774.65,3.75,-,ETHUSD,3.75,0.0,0.0,5.800000000000182
114,2022-06-07 19:30:00,1770.9,1780.4,1769.3,1783.7,9.5,+,ETHUSD,9.5,9.5,3.2999999999999545,1.6000000000001364
115,2022-06-07 19:45:00,1780.4,1781.5,1777.6,1784.65,1.1,+,ETHUSD,1.1,1.099999999999909,3.150000000000091,2.800000000000182
116,2022-06-07 20:00:00,1781.5,1784.15,1778.5,1789.6,2.65,+,ETHUSD,2.65,2.650000000000091,5.449999999999818,3.0
117,2022-06-07 20:15:00,1784.15,1780.95,1776.4,1787.15,3.2,-,ETHUSD,3.2,0.0,3.0,4.5499999999999545
118,2022-06-07 20:30:00,1780.95,1776.4,1775.4,1781.8,4.55,-,ETHUSD,4.55,0.0,0.849999999999909,1.0
119,2022-06-07 20:45:00,1776.4,1780.2,1775.85,1780.95,3.8,+,ETHUSD,3.8,3.7999999999999545,0.75,0.5500000000001819
120,2022-06-07 21:00:00,1780.2,1795.4,1777.35,1797.35,15.2,+,ETHUSD,15.2,15.200000000000045,1.949999999999818,2.8500000000001364
121,2022-06-07 21:15:00,1795.4,1798.25,1788.9,1798.45,2.85,+,ETHUSD,2.85,2.849999999999909,0.20000000000004547,6.5
122,2022-06-07 21:30:00,1798.25,1803.3,1798.0,1809.95,5.05,+,ETHUSD,5.05,5.0499999999999545,6.650000000000091,0.25
123,2022-06-07 21:45:00,1803.3,1805.45,1799.5,1807.65,2.15,+,ETHUSD,2.15,2.150000000000091,2.2000000000000455,3.7999999999999545
124,2022-06-07 22:00:00,1805.45,1814.1,1805.35,1816.05,8.65,+,ETHUSD,8.65,8.649999999999864,1.9500000000000455,0.10000000000013642
125,2022-06-07 22:15:00,1814.1,1811.7,1809.25,1815.15,2.4,-,ETHUSD,2.4,0.0,1.050000000000182,2.4500000000000455
126,2022-06-07 22:30:00,1811.7,1850.0,1811.1,1850.0,38.3,+,ETHUSD,38.3,38.299999999999955,0.0,0.6000000000001364
127,2022-06-07 22:45:00,1850.0,1845.15,1834.3,1873.95,4.85,-,ETHUSD,4.85,0.0,23.950000000000045,10.850000000000136
128,2022-06-07 23:00:00,1845.15,1851.95,1845.05,1867.7,6.8,+,ETHUSD,6.8,6.7999999999999545,15.75,0.10000000000013642
129,2022-06-07 23:15:00,1851.95,1845.4,1844.8,1862.25,6.55,-,ETHUSD,6.55,0.0,10.299999999999955,0.6000000000001364
130,2022-06-07 23:30:00,1845.4,1843.0,1836.65,1848.0,2.4,-,ETHUSD,2.4,0.0,2.599999999999909,6.349999999999909
131,2022-06-07 23:45:00,1843.0,1843.0,1837.45,1847.1,0.0,=,ETHUSD,0.0,0.0,,
132,2022-06-08 00:00:00,1843.0,1841.5,1841.5,1846.0,1.5,-,ETHUSD,1.5,0.0,3.0,0.0
133,2022-06-08 00:15:00,1841.5,1833.0,1830.7,1845.85,8.5,-,ETHUSD,8.5,0.0,4.349999999999909,2.2999999999999545
134,2022-06-08 00:30:00,1833.0,1840.6,1831.5,1843.05,7.6,+,ETHUSD,7.6,7.599999999999909,2.4500000000000455,1.5
